,0
219,startseq  little girl with arms outstretched plays with others at sprinkler park endseq
220,startseq  person drives in red car endseq
221,startseq  girl with black purse sitting on wooden bench endseq
222,startseq  girl in white shirt is sitting on park bench with dog next to her endseq
223,startseq  biker enjoys coffee endseq
224,startseq  baby girl is attempting to climb out of her green crib endseq
225,startseq  man in red jacket looking out over snowcovered mountains endseq
226,startseq  black and white dog carrying large stick endseq
227,startseq  boy in blue with football sprawls in the grass endseq
228,startseq  girls seated at table with candle covered with lit candles endseq
229,startseq  black dog runs after another black dog who is carrying ball endseq
230,startseq  about kids and few adults get splashed by an off camera source endseq
231,startseq  winter landscape with four people walking in the snow endseq
232,startseq  one man in red shirt and black pants with man in white shirt and tan shorts golfing endseq
233,startseq  girl is getting ready to swing the club endseq
234,startseq  man standing on rocky mountain with gray clouds in the background endseq
235,startseq  boy dressed in khaki shorts and red shirt runs on beach with green white and blue structures and half moon behind him endseq
236,startseq  boat on lake endseq
237,startseq  man is pulled behind boat on knee board while another doing the same begins to fall endseq
238,startseq  group of people in costume at renaissance fair endseq
239,startseq  children sit and watch the fish moving in the pond endseq
240,startseq  boy in white plays baseball endseq
241,startseq  africanamerican woman stands in the crowd endseq
242,startseq  boy with his mouth open and tongue sticking out clinging to bar next to platform endseq
243,startseq  black and tan dog in the snow endseq
244,startseq  group of dogs pull person on dog sled up hill endseq
245,startseq  boy sitting in water endseq
246,startseq  snow dog in red harness endseq
247,startseq  black and white dog on the snow endseq
248,startseq  big brown dog is jumping in the water and has his mouth wide open endseq
249,startseq  brown dog is leaping into garden swimming pool endseq
250,startseq  dog jumps for red ball on the grass endseq
251,startseq  boy jumps from one picnic table to another endseq
252,startseq  woman crouches down next to her terrier dog to smile at little girl sitting on the sidewalk endseq
253,startseq  female artist showing her painting and signing paper endseq
254,startseq  girl dressed in red and black top with black pants is sitting on wall endseq
255,startseq  crowd of people are standing together on sidewalk while one man is taking picture endseq
256,startseq  crowd of people look at something out of frame one man takes picture endseq
257,startseq  backpacker in the mountains wearing an american flag endseq
258,startseq  child is being swung by her arms while another child watches endseq
259,startseq  girl sits on bar stool endseq
260,startseq  blonde boy wearing blue life vest and camo shorts jumps off diveboard into blue lake endseq
261,startseq  asian man gives an evil eye to the camera endseq
262,startseq  boy in swimming trunks endseq
263,startseq  three boys in baggy bathing suits play in splashing water in front of grey block wall endseq
264,startseq  boy in blue shirt with dirt on his face endseq
265,startseq  girl in red and black leotard with white writing is standing next to man in cap and girl in hot pink and black and white checkered outfit endseq
266,startseq  man hanging from bars outdoors endseq
267,startseq  baby boy wearing shoulder life saver is at the very edge of an orange pool slide endseq
268,startseq  girl poses on the train tracks near station endseq
269,startseq  girl in tank top and jean capris stands on railroad tracks endseq
270,startseq  dark haired bearded man wearing turquoise shirt with yellow peace sign on it endseq
271,startseq  man in feather hat looking down endseq
272,startseq  the two dogs are running through field of flowers endseq
273,startseq  two children on surfboards wave to each other endseq
274,startseq  man in street racer armor is examining the tire of another racer motorbike endseq
275,startseq  black dog carries an orange tennis ball in his mouth as he swims endseq
276,startseq  boy wearing black sandals runs along the grass endseq
277,startseq  boy in blue shirt splashing in water under dock endseq
278,startseq  boy is jumping from body board into the ocean endseq
279,startseq  one girl is doing handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air endseq
280,startseq  black and grey dog runs in field with its tongue hanging out endseq
281,startseq  person hanging from telephone pole near the mountains endseq
282,startseq  two little puppies chase each other on stone wall endseq
283,startseq  dogs running on cold but sunny morning endseq
284,startseq  girl in green dress plays with hello kitty balloon endseq
285,startseq  boy and girl are standing on river bank facing the water endseq
286,startseq  girl floating wearing life vest endseq
287,startseq  closeup of little girl laughing endseq
288,startseq  girl in bikini walks along the beach with huge clouds and sandy beach behind her endseq
289,startseq  boy enjoys rain shower endseq
290,startseq  brown dog is sitting in some long grass endseq
291,startseq  little girl holding hands with her ice skating instructor endseq
292,startseq  little boy and little girl are lying on black bench surrounded by adults endseq
293,startseq  boy and girl playing on the beach endseq
294,startseq  brown dog stands in lush field with the stunning clouds and mountains behind it endseq
295,startseq  man sleeping with bag on his lap on public transportation endseq
296,startseq  people stand on street corner at dusk with pharmacy in the background endseq
297,startseq  black and white dog is running in the grass endseq
298,startseq  man wearing tuxedo shirt vest and bowtie is kissing another man wearing the same thing on the cheek endseq
299,startseq  man in glasses and an asian woman are seated across from each other in subway train endseq
300,startseq  group of people stand on balcony near colorful circus building endseq
301,startseq  three women standing on city street endseq
302,startseq  baby swings in swing near wooden fence endseq
303,startseq  girl standing in the ocean endseq
304,startseq  brownhaired child in green shoes swings on swing in park near the woods endseq
305,startseq  the girls are playing with foam swords endseq
306,startseq  the two children make funny pose in front of some bushes endseq
307,startseq  girls walks down the road holding teddy bear endseq
308,startseq  backpacker walks down rocky mountain endseq
309,startseq  puppy plays with an adult dog in the snow endseq
310,startseq  three females wearing head scarves standing together endseq
311,startseq  brown dog is bending down trying to drink from jet of water endseq
312,startseq  boy pushing another boy up pole endseq
313,startseq  man in dress shirt and tie is standing in front of sign selling donuts endseq
314,startseq  blond boy in blue tee shirts stands smiling before craft of green nylon fabric endseq
315,startseq  man is playing saxophone next to fire hydrant endseq
316,startseq  dog in midair cathing the red ball endseq
317,startseq  two girls are walking down dirt road in park endseq
318,startseq  few girls with green foam statue of liberty hats on train endseq
319,startseq  black and white dog jumping into pool after tennis balls endseq
320,startseq  barefoot redheaded girl jumping over rail endseq
321,startseq  brown dog on leash runs through the white water endseq
322,startseq  boy wearing no shirt and some blue jeans is jumping in the air in the woods endseq
323,startseq  man and dog stand on hill overlooking water endseq
324,startseq  blonde woman in white tank top and sunglasses is talking to man sitting next to boats on rock surface endseq
325,startseq  young boy casting his fishing line off pier endseq
326,startseq  black and white dog jumping into pool endseq
327,startseq  black and white dog are running on the grass endseq
328,startseq  firefighter extinguishes fire under the hood of car endseq
329,startseq  man in field backed by american flags endseq
330,startseq  boy is covered with marker endseq
331,startseq  blonde girl is stepping on vertical logs in the sand endseq
332,startseq  baby is laughing endseq
333,startseq  man is climbing up wall endseq
334,startseq  female softball player making pitch endseq
335,startseq  child is being thrown in the air playfully endseq
336,startseq  fluffy white dog is coming out of blue striped obstacle shute endseq
337,startseq  man drives an oldfashioned red race car endseq
338,startseq  girl carries lot through the grass endseq
339,startseq  girl in flowered dress peaking through some leaves endseq
340,startseq  boy is attempting to rockclimb prefabricated wall endseq
341,startseq  halfdressed man walks into river at the bottom of small waterfall endseq
342,startseq  big black dog runs through the water near the shore endseq
343,startseq  boy sand surfing down hill endseq
344,startseq  dog runs through the forest with something in its mouth endseq
345,startseq  dog in red jacket is running on the grass endseq
346,startseq  black dog is running in the grass endseq
347,startseq  kids play in blue tub full of water outside endseq
348,startseq  black dog retrieves cloth from streambed endseq
349,startseq  boy holds his hands on his head endseq
350,startseq  helmeted man jumping off rock on mountain bike endseq
351,startseq  climber is attempting to climb around an overhang above the woods endseq
352,startseq  boy rides on tire swing endseq
353,startseq  group of people walking across rope bridge endseq
354,startseq  three dogs looking at cement ledge endseq
355,startseq  people stand in corridor looking from balcony as another person walks dog endseq
356,startseq  large man sits in the back of canoe with another man in front on river endseq
357,startseq  wine shop with an open sign in the window and two people out front endseq
358,startseq  man and woman standing outside restaurant endseq
359,startseq  dog jumping in the air to retrieve stick from man endseq
360,startseq  man gun and dog endseq
361,startseq  man sits at table in front of computer wearing headphones endseq
362,startseq  man is snowboarding over structure on snowy hill endseq
363,startseq  brown dog laying on blue cover endseq
364,startseq  the girls walk down the street endseq
365,startseq  woman is looking at dressed headless mannequins in store display endseq
366,startseq  boy is playing with camera whilst standing on dirt track endseq
367,startseq  two girls looking out over lake towards man fishing endseq
368,startseq  two bicycles are standing behind two people sitting on the grass near body of water endseq
369,startseq  an old man is sitting on stone bench endseq
370,startseq  men are standing beside stonesign endseq
371,startseq  child pushes doll in baby carriage endseq
372,startseq  man leaning against concrete wall with his arms resting on top looks over balcony endseq
373,startseq  woman in black shirt is sitting next to florescent green bag endseq
374,startseq  brown dog and two black dogs in an overgrown grassy field endseq
375,startseq  girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her endseq
376,startseq  lone woman sitting on an usual green bench with cup in her hand endseq
377,startseq  boy stands beside railing at go kart track endseq
378,startseq  two children climb into the back of vehicle from the front seat endseq
379,startseq  black dog carrying an object out of the water endseq
380,startseq  dog waits as his owner rummages through collection of stuff endseq
381,startseq  brown dog carrying black object endseq
382,startseq  father and child are playing in the pool endseq
383,startseq  boy with glasses is standing on top of rocky peak with hands in his pockets endseq
384,startseq  boy with green balloon is standing outside of large building endseq
385,startseq  man hangs upside in the air over the water endseq
386,startseq  man in blue shirt cowboy hat and cross neckless walking in front of carnival or amusement park ride endseq
387,startseq  group of people waits for their luggage in the las vegas airport endseq
388,startseq  brown dog chases blond one in the grass endseq
389,startseq  man is carefully skiing down snow covered hill wearing backpack endseq
390,startseq  girl in an innertube enjoying the lake endseq
391,startseq  man and girl sit inside floating tube in the water endseq
392,startseq  man smiles and holds onto rope on boat endseq
393,startseq  lady dressed in shades of black waits on the sidewalk for train endseq
394,startseq  child is in harness with onlookers endseq
395,startseq  boy in red and blue shorts is trying to catch soccer ball while running in sand endseq
396,startseq  four children are playing on hill of sand endseq
397,startseq  dog trots through the grass endseq
398,startseq  boy highfives mannequin endseq
399,startseq  black dog in front of white dog walking on path in forest endseq
400,startseq  climber in an orange helmet is ascending attached to rope whilst climbing rock face endseq
401,startseq  dog is running along beach on sunny day endseq
402,startseq  man in harness being dragged across the water endseq
403,startseq  one dog shaking the water off getting second dog wet endseq
404,startseq  man rock climbs with city and body of water in the background endseq
405,startseq  man looks up at the cliff he is climbing near the beautiful blue ocean endseq
406,startseq  boy dressed as pirate glares at the camera while boats sit in the background endseq
407,startseq  girl smiles as she runs across the white sandy beach in her swimsuit endseq
408,startseq  baby stands on the side of couch and knocks over lamp endseq
409,startseq  boy hits baseball with the bat endseq
410,startseq  little boy points to the face of another little boy in base in baseball game endseq
411,startseq  child jumps on sand dune endseq
412,startseq  these three young men are standing on mountaintop endseq
413,startseq  boy jumping off of cement block endseq
414,startseq  man in red shorts jumping in back of volleyball net endseq
415,startseq  girl in boots is active in the grass endseq
416,startseq  person is laughing on roller coaster ride endseq
417,startseq  man holds drink in one hand and looks at his cellphone endseq
418,startseq  vendor in all pink and red clothing is preparing her wears while looking forward endseq
419,startseq  man and woman are at catered dinner getting food endseq
420,startseq  two children peek out endseq
421,startseq  two guys standing side by side endseq
422,startseq  baby plays with young boys face endseq
423,startseq  man dressed in white shirt blue baseball cap while wearing gloves holding red and white checkered food wrapping endseq
424,startseq  black and white dog jumps over pole while splashing water around endseq
425,startseq  man in an orange hat pulls cigarette out of box endseq
426,startseq  fisherman is reeling his rod while another relaxes in boat on water endseq
427,startseq  man wearing blue has mohawk endseq
428,startseq  boy wears ninja suit and strikes pose endseq
429,startseq  child dressed as ninja is jumping through the air under large tree endseq
430,startseq  hiker poses in green field with sheep endseq
431,startseq  hiker resting in field endseq
432,startseq  two children hang from metal bar close to the ground endseq
433,startseq  little boy walking on railroad tracks endseq
434,startseq  two big german shephard dogs play in the water endseq
435,startseq  dog on two legs with its mouth opened toward blue ball in the air endseq
436,startseq  girl begins to climb red piece of playground equipment endseq
437,startseq  girl touches boys face both are smiling endseq
438,startseq  crowd of people are sitting in seats in sports ground bleachers endseq
439,startseq  man in suit along the railing of balcony that has very high view endseq
440,startseq  child in black shirt standing on wooden dock near picnic table endseq
441,startseq  boy in green shirt on skateboard on stone wall with graffiti endseq
442,startseq  two hikers wearing dark clothes rest on snow covered peak endseq
443,startseq  woman and boy are making hamburgers in the kitchen endseq
444,startseq  children climbing statue endseq
445,startseq  white dog and black dog in field endseq
446,startseq  bald man with tattooed head stands next to man with brown tshirt in front of transparent awning endseq
447,startseq  lady sitting down and someone with black shorts and shoes endseq
448,startseq  mother helps her little boy eat his food by feeding him by hand endseq
449,startseq  man in the near distance is pointing to silver sedan near him endseq
450,startseq  man and woman are standing on the curb endseq
451,startseq  man holding fish endseq
452,startseq  crowd is watching shirtless men one in yellow pants and one in black shorts perfom endseq
453,startseq  hiker is walking treeless path up hill endseq
454,startseq  baby lies almost completely covered by bright colored plastic balls endseq
455,startseq  wet white dog is splashing in the water with stick in its mouth endseq
456,startseq  man is carrying large backpack and looking over some green fields endseq
457,startseq  child rides on man shoulders endseq
458,startseq  man riding his bike on hill endseq
459,startseq  boy in black helmet and red long sleeve shirt rides his motorbike over rocky stream endseq
460,startseq  black and white dog is jumping up to catch toy as another dog watches endseq
461,startseq  climber is suspended on an overhang that overlooks tree covered hill endseq
462,startseq  man wearing backpack is climbing rock endseq
463,startseq  man standing on cliff endseq
464,startseq  climber scales steep rock face endseq
465,startseq  man in harness climbing rock wall endseq
466,startseq  boy climbing rock face endseq
467,startseq  boy is smiling whilst standing in front of swimming pool endseq
468,startseq  the two dogs are in the water retrieving stick endseq
469,startseq  man plays frisbee with his dog endseq
470,startseq  child slides down colorful slide while another child watches endseq
471,startseq  black and tan dog plays with centipede toy endseq
472,startseq  black and white dog climbs leaning tree trunk endseq
473,startseq  children participate in sport on green field while in uniforms endseq
474,startseq  black puppy is biting tree limb endseq
475,startseq  jack russell terrier is measured for distance jumping as he tries to catch frisbee endseq
476,startseq  kids running across the grass endseq
477,startseq  brown dog and tan dog are playing in tall grass endseq
478,startseq  girl takes picture with her hand over the camera lens endseq
479,startseq  boy sits in toy car while drinking from his sippy cup endseq
480,startseq  two children are shown upside down endseq
481,startseq  big black dog chases big brown dog with green object in his mouth while another big brown dog tags behind endseq
482,startseq  group of young girls smiling with large crowd behind them endseq
483,startseq  boy doing handstand on the beach endseq
484,startseq  boy is catching an orange frisbee in front of wooden gate endseq
485,startseq  bird is standing on rock overlooking waterfall endseq
486,startseq  man in blue canoe battling through rough waves endseq
487,startseq  group of bicyclists getting ready for ride endseq
488,startseq  girl in striped shirt holds bun to her mouth endseq
489,startseq  band of cellos and violins playing in front of crowd at the market gallery endseq
490,startseq  girl in sunglasses sits in the branches of tree endseq
491,startseq  man is sitting in room made up of wood panelling endseq
492,startseq  boy and three girls in blue school uniforms walk down dirtcovered road endseq
493,startseq  girl and two boys dressed up for halloween endseq
494,startseq  the two ladies are riding bicycles near the beach endseq
495,startseq  large white dog growling at large black dog endseq
496,startseq  guitarist plays while people play with hulahoops in the background endseq
497,startseq  girl climbing rope wall endseq
498,startseq  girl in white shirt jumps on trampoline endseq
499,startseq  boy on playground swing strikes medatative pose endseq
500,startseq  little boy presses his face window endseq
501,startseq  black dog is swimming in green water with something in its mouth endseq
502,startseq  kayaker goes through the waves holding his paddle endseq
503,startseq  kayaker is battling waves in purple boat while wearing rain gear endseq
504,startseq  group of people pull jeep stuck on rock endseq
505,startseq  men in helmets and orange vests pulling jeep out of ditch endseq
506,startseq  brown dog runs through the grass holding something in its mouth endseq
507,startseq  the two girls are playing on yellow and red jungle gym endseq
508,startseq  baseball batter raising his arm endseq
509,startseq  two girls in pink are playing on yellow playground bars endseq
510,startseq  black dog is jumping up biting man padded arm endseq
511,startseq  boy in pool squirts bright green water gun endseq
512,startseq  big tan dog lays on the ground looking to the side endseq
513,startseq  man and his dog in the mountains endseq
514,startseq  two brownish dogs are fighting endseq
515,startseq  black dog is running in the water endseq
516,startseq  little black dog is running beside large brown and white dog with large rope in its mouth endseq
517,startseq  downhill skier with backpack on background of mountains and wispy clouds endseq
518,startseq  group of people in boat white water rafting endseq
519,startseq  girl squats on rock while another stands by her endseq
520,startseq  man cutting up some food on yellow board endseq
521,startseq  group of skiers going up mountain endseq
522,startseq  kayaker wearing blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids endseq
523,startseq  boy stands on rock in creek holding stick endseq
524,startseq  boy on green plastic swing endseq
525,startseq  child smiling in park endseq
526,startseq  blonde woman in blue shorts walks on the beach carrying her shoes endseq
527,startseq  lone person wearing quilt walking along the sidewalk of street endseq
528,startseq  boy and toddler boy stand by water fountain endseq
529,startseq  bare backed climber is attached to the rock face on pink safety rope endseq
530,startseq  closeup of bicycle rider leg endseq
531,startseq  brown and white dog is running through woodland endseq
532,startseq  boy skateboards and does jump over another skateboard endseq
533,startseq  barefoot boy in shorts and tshirt jumps in muddy grass endseq
534,startseq  girl wearing green jacket is standing at stop light endseq
535,startseq  creek winds through the woods endseq
536,startseq  man in scuba suit holds box endseq
537,startseq  person in scuba suit holds very small lobster endseq
538,startseq  little girl in pajamas runs down hall with hardwood floors endseq
539,startseq  three elderly women two with canes walk through parking lot endseq
540,startseq  couple enjoys quiet moment near the river endseq
541,startseq  few different colored dogs jumping around in the grass behind house endseq
542,startseq  man and dog sit on bench near body of water endseq
543,startseq  dog is trotting through shallow stream endseq
